train/explained_variance,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,time/time_elapsed,time/iterations,time/total_timesteps,train/std,time/fps
0.0,-0.0013493585865944624,19499,2.4616252858322696e-07,-2.7923812866210938,0.0007,198,19500,97500,0.992287814617157,491
0.0,-0.0010041601490229368,19599,2.438570732010703e-07,-2.781554698944092,0.0007,199,19600,98000,0.9872195720672607,491
0.0,-0.001258891774341464,19699,2.435345436424541e-07,-2.7694215774536133,0.0007,200,19700,98500,0.9810010194778442,491
0.0,-0.00111165433190763,19799,2.4479771809637896e-07,-2.7762084007263184,0.0007,201,19800,99000,0.9857046008110046,491
0.0,-0.0012003998272120953,19899,2.4379625074288924e-07,-2.7604002952575684,0.0007,202,19900,99500,0.9769905209541321,491
0.0,-0.0017743443604558706,19999,2.426967000701552e-07,-2.7718093395233154,0.0007,203,20000,100000,0.9806619882583618,492
-1.1920928955078125e-07,-0.0014692043187096715,20099,2.4258093844764517e-07,-2.7827866077423096,0.0007,204,20100,100500,0.9860128164291382,492
-1.1920928955078125e-07,-0.0010093459859490395,20199,2.4204209125855414e-07,-2.7654778957366943,0.0007,205,20200,101000,0.979392409324646,492
0.0,-0.0014026155695319176,20299,2.4227065864579345e-07,-2.7604470252990723,0.0007,206,20300,101500,0.9755280017852783,492
-1.1920928955078125e-07,-0.0009013166418299079,20399,2.4184652147596353e-07,-2.754171371459961,0.0007,207,20400,102000,0.9740041494369507,492
-1.1920928955078125e-07,-0.001113052130676806,20499,2.425674381356657e-07,-2.7875213623046875,0.0007,208,20500,102500,0.99033522605896,492
-1.1920928955078125e-07,-0.001170008908957243,20599,2.438948172311939e-07,-2.7994041442871094,0.0007,209,20600,103000,0.9961484670639038,492
-1.1920928955078125e-07,-0.0010975202312693,20699,2.428994605452317e-07,-2.7948508262634277,0.0007,209,20700,103500,0.994734525680542,493
-1.1920928955078125e-07,-0.0011492776684463024,20799,2.4148158672687714e-07,-2.790825366973877,0.0007,210,20800,104000,0.9929909706115723,493
5.960464477539063e-08,-0.0013214410282671452,20899,2.4234114448518085e-07,-2.7905020713806152,0.0007,211,20900,104500,0.9925208687782288,493
