time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/n_updates,train/value_loss
202752,99,604,335,0.06240234375,0.0078751175,-0.0014271736145019531,-0.001250631573202554,2.0625829696655273,0.0003,0.0378015860915184,0.2,-4.270984441041946,980,7.541193030345222e-07
204800,100,604,338,0.096826171875,0.0075549968,-0.0013768672943115234,-0.004347570550453384,2.0723249912261963,0.0003,-0.023286715149879456,0.2,-4.2805071622133255,990,8.143062694026077e-06
206848,101,604,342,0.04384765625,0.0062502353,-0.0004718303680419922,-0.0006017905412591063,2.0845463275909424,0.0003,0.002728685736656189,0.2,-4.292710188031196,1000,3.434801590674796e-11
208896,102,604,345,0.0267578125,0.006094678,-0.00464785099029541,-0.0007250063034007325,2.094181776046753,0.0003,-0.004835629835724831,0.2,-4.305629275739193,1010,5.412227147762461e-11
210944,103,604,348,0.106494140625,0.01053125,0.003977537155151367,-0.002645108698925469,2.124608278274536,0.0003,0.030781548470258713,0.2,-4.322639906406403,1020,2.2354624799418396e-10
212992,104,605,351,0.1009765625,0.010025492,-0.003183126449584961,-0.0029248426952108277,2.146651268005371,0.0003,-0.016095632687211037,0.2,-4.3488789483904835,1030,9.021270262561724e-06
215040,105,605,355,0.063623046875,0.007621527,0.0015022754669189453,-0.0016214525618124752,2.166771411895752,0.0003,-0.003075089305639267,0.2,-4.365525270998478,1040,2.6549111326918017e-11
217088,106,605,358,0.00625,0.002029891,-0.01221776008605957,0.00043084410426672546,2.185844659805298,0.0003,-0.005350686609745026,0.2,-4.38760327398777,1050,6.810302075254619e-12
219136,107,605,362,0.07841796875,0.0061213737,0.009753644466400146,-0.0023055778568959796,2.1982035636901855,0.0003,-0.014865189790725708,0.2,-4.40251241773367,1060,2.0413116159656695e-11
221184,108,605,365,0.074609375,0.006439047,-0.0026079416275024414,-0.00361360977840377,2.235783100128174,0.0003,0.016747059300541878,0.2,-4.42513266056776,1070,1.0389068795874047e-11
223232,109,605,368,0.128369140625,0.010292977,-0.003203749656677246,-0.004584411188989179,2.2453432083129883,0.0003,-0.005286112427711487,0.2,-4.4444495677948,1080,2.6172384555947073e-06
225280,110,605,372,0.07138671875,0.008140384,0.02489161491394043,-0.0023150436449213886,2.2556214332580566,0.0003,0.003181684762239456,0.2,-4.454010708630085,1090,2.5204373102153308e-11
227328,111,604,375,0.01337890625,0.0026754176,-0.013845562934875488,-0.00042744422462419606,2.2790489196777344,0.0003,-0.0023692219983786345,0.2,-4.469825679063797,1100,1.6036936341503322e-06
229376,112,605,379,0.009423828125,0.0021016584,0.0017985701560974121,-0.00046882358874427154,2.2734789848327637,0.0003,0.009268995374441147,0.2,-4.473390801250934,1110,6.857806217265292e-08
231424,113,605,382,0.07353515625,0.0064150323,-0.0008214712142944336,-0.0013830534953740425,2.2772724628448486,0.0003,-0.02525866962969303,0.2,-4.475824475288391,1120,5.740332503792065e-06
233472,114,605,385,0.08974609375,0.009171074,-0.002622365951538086,-0.0024876937706721945,2.283884048461914,0.0003,0.024382183328270912,0.2,-4.482806992530823,1130,2.146865482426505e-09
235520,115,604,389,0.014697265625,0.0027569719,-0.002656102180480957,0.00026965951547026635,2.2951793670654297,0.0003,-0.016086749732494354,0.2,-4.490537610650063,1140,6.358418347695199e-09
237568,116,604,392,0.13603515625,0.011208236,0.0005934834480285645,-0.003655567279201932,2.3036258220672607,0.0003,0.0001058448979165405,0.2,-4.498908230662346,1150,5.7942161934449796e-06
239616,117,604,396,0.07314453125,0.008021871,0.0005671977996826172,-0.0024708760909561535,2.3295810222625732,0.0003,-0.0030674338340759277,0.2,-4.517298842966556,1160,2.8696355656449077e-10
